x_value,total_1,total_2
0,1000,1000
1,1001,1000
2,1004,1002
3,1007,1008
4,1004,1005
5,999,1010
6,998,1005
7,992,1007
8,996,1008
9,1004,1003
10,1012,1004
11,1020,1004
12,1022,1003
13,1028,998
14,1029,1000
15,1033,996
16,1033,992
17,1039,988
18,1037,991
19,1040,993
20,1048,996
21,1045,999
22,1040,995
23,1048,999
24,1048,1002
25,1056,1003
26,1052,1001
27,1056,1005
28,1050,1001
29,1049,1001
30,1055,1006
31,1049,1009
32,1053,1006
33,1055,1002
34,1061,1006
35,1062,1005
36,1065,1002
37,1072,1008
38,1074,1014
39,1068,1019
40,1068,1019
41,1069,1020
42,1070,1015
43,1076,1011
44,1071,1006
45,1073,1009
46,1075,1007
47,1077,1003
48,1084,1009
49,1090,1004
50,1098,1007
51,1092,1007
52,1094,1008
53,1092,1004
54,1088,1004
55,1084,1009
56,1083,1015
57,1090,1014
58,1091,1020
59,1086,1017
60,1091,1012
61,1093,1007
62,1087,1002
63,1085,1005
